[+] A iniciar stress write Modbus FC6 contra 172.27.224.250:502 (UnitID=1, Reg=6)...
[!] Stress write FC6 no registo 6, valor base 10
[2025-10-06 20:46:35] TID 166 | Valor enviado: 10 | Valor recebido: 10
[2025-10-06 20:46:35] TID 167 | Valor enviado: 11 | Valor recebido: 11
[2025-10-06 20:46:35] TID 168 | Valor enviado: 12 | Valor recebido: 12
[2025-10-06 20:46:36] TID 169 | Valor enviado: 13 | Valor recebido: 13
[2025-10-06 20:46:36] TID 170 | Valor enviado: 14 | Valor recebido: 14
[2025-10-06 20:46:36] TID 171 | Valor enviado: 15 | Valor recebido: 15
[2025-10-06 20:46:36] TID 172 | Valor enviado: 16 | Valor recebido: 16
[2025-10-06 20:46:36] TID 173 | Valor enviado: 17 | Valor recebido: 17
[2025-10-06 20:46:36] TID 174 | Valor enviado: 18 | Valor recebido: 18
[2025-10-06 20:46:36] TID 175 | Valor enviado: 19 | Valor recebido: 19
[2025-10-06 20:46:36] TID 176 | Valor enviado: 20 | Valor recebido: 20
[2025-10-06 20:46:36] TID 177 | Valor enviado: 10 | Valor recebido: 10
[2025-10-06 20:46:36] TID 178 | Valor enviado: 11 | Valor recebido: 11
[2025-10-06 20:46:37] TID 179 | Valor enviado: 12 | Valor recebido: 12
[2025-10-06 20:46:37] TID 180 | Valor enviado: 13 | Valor recebido: 13
[2025-10-06 20:46:37] TID 181 | Valor enviado: 14 | Valor recebido: 14
[2025-10-06 20:46:37] TID 182 | Valor enviado: 15 | Valor recebido: 15
[2025-10-06 20:46:37] TID 183 | Valor enviado: 16 | Valor recebido: 16
[2025-10-06 20:46:37] TID 184 | Valor enviado: 17 | Valor recebido: 17
[2025-10-06 20:46:37] TID 185 | Valor enviado: 18 | Valor recebido: 18
[2025-10-06 20:46:37] TID 186 | Valor enviado: 19 | Valor recebido: 19
[2025-10-06 20:46:37] TID 187 | Valor enviado: 20 | Valor recebido: 20
[2025-10-06 20:46:37] TID 188 | Valor enviado: 10 | Valor recebido: 10
[2025-10-06 20:46:38] TID 189 | Valor enviado: 11 | Valor recebido: 11
